Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;_2;Arrendamento Mercantil;_3;_4;_5;_6;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);_7
dado-Instituições-Individuais-ativo-03-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-03-01;573906.0;206000.0;3827503.0;2.098.869;2.000.944;0;0;0;0;0;4939186.0;468129.0;170769.0;12186437.0;0.0;12186437.0;
dado-Instituições-Individuais-ativo-03-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-03-01;510.0;6203.0;0.0;0;0;0;0;0;0;0;23683.0;0.0;0.0;30396.0;0.0;30396.0;
dado-Instituições-Individuais-ativo-03-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-03-01;104586.0;384565.0;8852220.0;4.159.281;3.985.278;0;0;0;0;0;8548752.0;754171.0;448134.0;23077706.0;0.0;23077706.0;
dado-Instituições-Individuais-ativo-03-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-03-01;7.0;113092.0;0.0;0;0;0;0;0;0;0;17897.0;0.0;1169.0;132165.0;0.0;132165.0;
dado-Instituições-Individuais-ativo-03-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-03-01;1206.0;11160.0;0.0;0;0;0;0;0;0;0;26803.0;96.0;0.0;39265.0;0.0;39265.0;
dado-Instituições-Individuais-ativo-03-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-03-01;70772.0;608029.0;15861401.0;10.370.116;9.821.779;0;0;0;0;0;11435941.0;2483325.0;762884.0;41044131.0;0.0;41044131.0;
dado-Instituições-Individuais-ativo-03-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-03-01;1464.0;6159086.0;0.0;0;0;0;0;0;0;0;52726.0;0.0;31954.0;6245229.0;0.0;6245229.0;
dado-Instituições-Individuais-ativo-03-24.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-03-01;0.0;0.0;0.0;0;0;0;0;0;0;0;388770.0;2993.0;0.0;391763.0;0.0;391763.0;
dado-Instituições-Individuais-ativo-03-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-03-01;1255.0;2000.0;0.0;0;0;0;0;0;0;0;87877.0;0.0;0.0;91132.0;0.0;91132.0;
dado-Instituições-Individuais-ativo-06-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-06-01;166176.0;124005.0;4804394.0;2.736.364;2.611.279;0;0;0;0;0;6123583.0;401614.0;172864.0;14403915.0;0.0;14403915.0;
