Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;Outras Receitas/Despesas Operacionais;_14;_15;_16;_17;_18;_19;_20;_21;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);_22
dado-Instituições-Individuais-DR-03-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-03-01;189.618;194.636;66.814;2.787;0;453.855;-311.653;0;0;0;-14.578;-326.232;127.623;70;133;-20.931;-117.989;-6.607;38.944;15.647;-4.968;-95.701;31923.0;512.0;32434.0;3902.0;-4418.0;31918.0;0.0;
dado-Instituições-Individuais-DR-03-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-03-01;0;219;0;0;0;219;0;0;0;0;0;0;218;3.288;0;-2.387;-3.025;-284;0;3.427;-43;977;1195.0;0.0;1195.0;-387.0;0.0;808.0;0.0;
dado-instituições-individuais-DR-03-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-03-01;841.625;103.551;49.108;13.538;2.094;1.009.915;-716.376;0;0;0;11.345;-705.031;304.884;16.984;407;-32.354;-198.371;-14.752;45.352;6.156;-15.174;-191.752;113132.0;-170.0;112962.0;-24385.0;-17641.0;70936.0;0.0;
dado-instituições-individuais-DR-03-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-03-01;0;419;0;0;0;419;0;0;0;0;0;0;419;4.946;0;-4.007;-4.021;-450;0;877;-1.692;-4.348;-3929.0;0.0;-3929.0;1571.0;0.0;-2358.0;0.0;
dado-instituições-individuais-DR-03-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-03-01;0;92;0;0;0;92;-83;0;0;0;0;-83;9;1.563;0;-4.397;-2.381;-156;0;95;0;-5.276;-5267.0;0.0;-5267.0;2364.0;0.0;-2902.0;0.0;
dado-instituições-individuais-DR-03-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-03-01;1.186.628;502.187;-124.827;39.288;45.599;1.648.875;-1.097.458;0;0;0;-96.323;-1.193.781;455.094;12.608;1.104;-46.439;-268.947;-29.900;545;36.594;-26.528;-320.962;134132.0;78.0;134210.0;-50888.0;-23836.0;59485.0;0.0;
dado-instituições-individuais-DR-03-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-03-01;0;150.631;0;0;0;150.631;-153.149;0;0;0;0;-153.149;-2.518;3.376;0;-8.419;-7.345;-410;-2.308;3.439;-38;-11.705;-14223.0;0.0;-14223.0;5345.0;0.0;-8878.0;0.0;
dado-instituições-individuais-DR-03-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-03-01;0;128;0;0;0;128;0;0;0;0;0;0;128;8.510;0;-6.131;-4.631;-1.004;0;7.695;-7.082;-2.643;-2515.0;0.0;-2515.0;1005.0;0.0;-1511.0;0.0;
dado-instituições-individuais-DR-03-24.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-03-01;0;0;0;0;0;0;-20;0;0;0;0;-20;-20;0;0;-111;-2.304;-242;0;18.623;-28.890;-12.923;-12943.0;0.0;-12943.0;5823.0;0.0;-7120.0;0.0;
dado-Instituições-Individuais-DR-06-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-06-01;499.158;523.179;29.509;64.714;0;1.116.561;-734.606;0;0;0;-55.482;-790.088;326.473;689;350;-42.764;-336.608;-23.187;210.206;15.901;-209.359;-384.772;-58299.0;5847.0;-52452.0;120602.0;-8144.0;60006.0;0.0;
