Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Captações;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);_16
dado-instituições-individuais-passivo-03-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-03-01;71.850;6.203;10.234.666;194;0;10.312.913;278.352;236.195;0;0;0;0;236.195;0;10.827.460;57.0;577149.0;11404665.0;0.0;781771.0;12186437.0;
dado-instituições-individuais-passivo-03-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;4997.0;4997.0;0.0;25399.0;30396.0;
dado-instituições-individuais-passivo-03-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-03-01;414.135;237.251;19.584.413;693;0;20.236.491;374.716;129.437;0;20.094;0;0;149.531;0;20.760.738;145164.0;510913.0;21416815.0;;;;
dado-instituições-individuais-passivo-03-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-03-01;0;0;110.083;0;0;110.083;0;0;0;0;0;0;0;0;110.083;0.0;1282.0;111365.0;;;;
dado-instituições-individuais-passivo-03-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;9775.0;9775.0;;;;
dado-instituições-individuais-passivo-03-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-03-01;609.025;6.233.982;27.595.778;1.268;0;34.440.054;1.045.612;781.395;0;774.941;0;0;1.556.336;0;37.042.001;255927.0;1304578.0;38602505.0;;;;
dado-instituições-individuais-passivo-03-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-03-01;0;0;6.220.798;0;0;6.220.798;0;0;0;0;0;0;0;0;6.220.798;0.0;2699.0;6223497.0;;;;
dado-instituições-individuais-passivo-03-24.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;89091.0;89091.0;;;;
dado-instituições-individuais-passivo-03-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;60802.0;60802.0;;;;
dado-instituições-individuais-passivo-06-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-06-01;220.922;1.999;11.940.724;620;0;12.164.265;366.756;236.769;0;0;0;0;236.769;0;12.767.790;3124.0;604145.0;13375059.0;0.0;1028856.0;14403915.0;
