Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;Column1
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;01/03/2022;1955518063;757545602;1813541505;1581085831;141976558;6570637;3987;671;
dado-Instituições-Individuais-resumo-03-22.csv;CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;01/03/2022;1483535592;888994637;1403265146;1218664960;80270446;2312079;3373;907;
dado-Instituições-Individuais-resumo-03-22.csv;ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;01/03/2022;1436993874;378620358;1320282816;1136300689;116711057;5382000;2722;934;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;01/03/2022;1428640054;519088973;1277541428;1075396669;151098626;7009200;2952;1317;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;01/03/2022;915448665;323833982;833189053;679173712;82259612;3917375;2594;1568;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;01/03/2022;784591339;267441049;642169358;259953872;142421980;12901944;5;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;01/03/2022;286768981;50391873;247469451;199262730;39299530;1942585;19;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;01/03/2022;207155336;81241319;191833411;165053658;15321925;501415;117;4;
dado-Instituições-Individuais-resumo-03-22.csv;ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;01/03/2022;161215875;0;16525410;0;144690465;6993053;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO ITAUCARD S.A.;17192451;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;01/03/2022;151710499;126326185;140487004;67768103;11223495;424473;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;01/03/2022;137159431;28850396;132656179;89862087;4503252;297240;51;8;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;01/03/2022;117105745;60216253;105017730;85293784;12088015;421636;4;19;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;01/03/2022;109943220;17928834;107479578;97431947;2463643;13865;6;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;01/03/2022;103862034;42255279;94870909;82003632;8991124;164093;505;129;
dado-Instituições-Individuais-resumo-03-22.csv;CIELO S.A.;1027058;CIELO IP - PRUDENCIAL;;84710;n4;2;41;BARUERI;SP;01/03/2022;99813690;0;89643314;3900411;10170376;184557;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;ITAU - PRUDENCIAL;;80099;n4;2;41;SAO PAULO;SP;01/03/2022;99485491;0;54016317;0;45469173;621792;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE - PRUDENCIAL;20107;80116;b1;3;8;SAO PAULO;SP;01/03/2022;88294542;4335566;81279664;56105820;7014878;397416;3;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;01/03/2022;84023358;17566846;81408951;69093258;2614407;120884;5;0;
dado-Instituições-Individuais-resumo-03-22.csv;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;01/03/2022;76331080;0;69719349;51841978;6611731;-65758;4;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS - PRUDENCIAL;51516;80673;b1;3;8;SAO PAULO;SP;01/03/2022;76112449;7987098;73022192;31189095;3090257;-23027;5;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;01/03/2022;68900136;43696682;57094012;53438496;11806124;387916;3;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DO NORDESTE DO BRASIL S.A.;7237373;BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;;81593;b1;1;8;FORTALEZA;CE;01/03/2022;63006496;14994124;55071476;18652185;7935020;408893;296;2;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO XP S.A.;33264668;XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;52120;82475;b1;2;8;RIO DE JANEIRO;RJ;01/03/2022;60300688;15837034;59413676;48133408;887012;196617;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DAYCOVAL S.A.;62232889;BCO DAYCOVAL S.A - PRUDENCIAL;51987;81744;b1;2;8;SAO PAULO;SP;01/03/2022;59770802;34230637;54654253;46460821;5116549;196134;52;0;
dado-Instituições-Individuais-resumo-03-22.csv;AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;01/03/2022;58381227;53756544;55994674;53627575;2386553;81349;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;SANTANDER - PRUDENCIAL;;80185;n4;3;41;SAO PAULO;SP;01/03/2022;56013680;0;53267120;2302440;2746559;99619;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;01/03/2022;55346349;18301546;50961560;48609413;4384789;251680;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;NU PAGAMENTOS - PRUDENCIAL;;84693;n4;2;41;SAO PAULO;SP;01/03/2022;53401282;26401104;50217664;12968054;3183618;-70726;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;01/03/2022;52604986;36286684;44933297;38883372;7671689;195496;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;;81555;b1;3;8;SAO PAULO;SP;01/03/2022;46138209;26222142;41122103;29287861;5016106;131221;19;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO MUFG BRASIL S.A.;60498557;BCO MUFG BRASIL S.A. - PRUDENCIAL;;81713;b1;3;8;SAO PAULO;SP;01/03/2022;44078500;3572994;42713550;7235015;1364949;20507;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE - PRUDENCIAL;51066;80491;b1;3;8;SAO PAULO;SP;01/03/2022;41983071;2905535;39571999;8865292;2411071;39547;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL - PRUDENCIAL;41856;80312;b1;3;8;SAO PAULO;SP;01/03/2022;40418176;19941081;35643901;30414788;4774274;183162;12;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO INTER S.A.;416968;INTER - PRUDENCIAL;51884;80996;b1;2;8;BELO HORIZONTE;MG;01/03/2022;38265337;17902821;29837168;24540010;8428169;17003;19;0;
dado-Instituições-Individuais-resumo-03-22.csv;BRB - BANCO DE BRASILIA S.A.;208;BRB - PRUDENCIAL;31976;80288;b1;1;8;BRASILIA;DF;01/03/2022;37424710;19973621;35021681;32472805;2403028;70666;125;86;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BMG S.A.;61186680;BMG - PRUDENCIAL;30290;80178;b1;2;8;SAO PAULO;SP;01/03/2022;36995234;14940943;33133980;29022124;3861254;48306;29;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES - PRUDENCIAL;30159;80147;b1;1;8;VITORIA;ES;01/03/2022;36374297;6635564;34416340;33188074;1957957;81273;103;49;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE - PRUDENCIAL;30771;80219;b2;3;13;SAO PAULO;SP;01/03/2022;34201684;6580057;28112750;21366791;6088934;389131;3;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH - PRUDENCIAL;51255;80556;b1;3;8;SAO PAULO;SP;01/03/2022;34150580;979521;30587536;16321067;3563044;208289;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;STONE IP - PRUDENCIAL;;84686;n4;2;41;SAO PAULO;SP;01/03/2022;31132780;0;29953767;4463318;1179013;-47436;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO J. SAFRA S.A.;3017677;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;01/03/2022;30764915;20008848;30046017;28947387;718898;68443;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;01/03/2022;30233653;30032301;28520859;26774888;1712793;-38598;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;81249;b1;1;2;BELEM;PA;01/03/2022;29722738;12771856;26502555;9200904;3220183;216850;119;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;80202;b2;3;8;SAO PAULO;SP;01/03/2022;28153446;24035657;25276875;20173066;2876571;20653;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;01/03/2022;27733533;8380610;23040126;17226597;4693407;-197492;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;PAGSEGURO - PRUDENCIAL;;84813;n4;2;41;SAO PAULO;SP;01/03/2022;25508644;449531;16783392;1865714;8725253;222584;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;01/03/2022;25236159;102183;1060209;0;24175950;271501;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE - PRUDENCIAL;31859;80264;b1;3;8;SAO PAULO;SP;01/03/2022;24662225;1164615;23084440;4738263;1577785;28958;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BANDEPE S.A.;10866788;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;01/03/2022;24410752;0;18992351;18739647;5418401;59182;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO ORIGINAL S.A.;92894922;BANCO ORIGINAL - PRUDENCIAL;51781;80903;b1;2;8;SAO PAULO;SP;01/03/2022;24168961;14890406;22019590;19125856;2149371;-119251;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA - PRUDENCIAL;51293;80570;b2;2;13;SAO PAULO;SP;01/03/2022;22747845;5907372;21143611;20772935;1604235;13837;9;1;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO HSBC S.A.;53518684;HSBC BI - PRUDENCIAL;;84741;b1;3;8;SAO PAULO;SP;01/03/2022;21846724;2048646;20832137;7284965;1014587;18466;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY - PRUDENCIAL;51413;80628;b1;3;8;SAO PAULO;SP;01/03/2022;21491199;0;18521319;10297908;2969880;87673;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS - PRUDENCIAL;51585;80714;b2;3;8;SAO PAULO;SP;01/03/2022;20927234;10210;18510093;5370235;2417141;38809;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;CITIBANK N.A.;33042953;CITIBANK - PRUDENCIAL;30403;80192;b1;3;28;SAO PAULO;SP;01/03/2022;19089954;10688;13380601;6041113;5709353;95936;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;01/03/2022;18617591;12442323;15817293;3394277;2800298;70048;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;SCOTIABANK BRASIL - PRUDENCIAL;52230;81452;b1;3;8;SAO PAULO;SP;01/03/2022;18536712;2076454;16444935;12028167;2091777;48303;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU - PRUDENCIAL;10069;80099;n1;2;14;SAO PAULO;SP;01/03/2022;18098100;18639204;16864133;5050556;1233967;33929;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO CLASSICO S.A.;31597552;BCO CLASSICO S.A. - PRUDENCIAL;;81665;b1;2;8;RIO DE JANEIRO;RJ;01/03/2022;17610433;0;6445343;1050545;11165090;62178;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;;81311;b4;1;5;PORTO ALEGRE;RS;01/03/2022;17227424;14333650;13745208;12764930;3482215;84353;4;0;
dado-Instituições-Individuais-resumo-03-22.csv;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;7450604;CCB - PRUDENCIAL;32119;80295;b1;3;8;SAO PAULO;SP;01/03/2022;17173903;7569933;16052549;14180356;1121355;-6936;9;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO BRADESCO BBI S.A.;6271464;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;01/03/2022;16646460;0;978144;0;15668317;627017;4;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;;81407;b2;3;8;CURITIBA;PR;01/03/2022;16028667;15364602;14333750;13769890;1694918;129987;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;MERCADO PAGO IP - PRUDENCIAL;;84820;n4;2;41;OSASCO;SP;01/03/2022;15373156;1599987;14587219;4596202;785937;108450;1;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ - PRUDENCIAL;51262;80563;b2;3;8;SAO BERNARDO DO CAMPO;SP;01/03/2022;15252125;14627865;12988983;12509878;2263142;33671;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO PINE S.A.;62144175;PINE - PRUDENCIAL;50304;80374;b1;2;8;SAO PAULO;SP;01/03/2022;15187275;4190699;14356866;12008473;830409;1866;3;0;
dado-Instituições-Individuais-resumo-03-22.csv;SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER - PRUDENCIAL;30379;80185;n1;3;19;SAO PAULO;SP;01/03/2022;14675699;2481299;3488653;639897;11187046;118859;2;0;
dado-Instituições-Individuais-resumo-03-22.csv;BANCO DO ESTADO DO PARÁ S.A.;4913711;BCO DO EST. DO PA S.A. - PRUDENCIAL;;81586;b1;1;8;BELEM;PA;01/03/2022;14482387;8733993;12810012;12403631;1672376;33678;149;34;
